Date;Notifications
2003-01-05;169.0
2003-01-12;575.0
2003-01-19;140.0
2003-01-26;174.0
2003-02-02;244.0
2003-02-09;547.0
2003-02-16;313.0
2003-02-23;213.0
2003-03-02;334.0
2003-03-09;494.0
2003-03-16;451.0
2003-03-23;460.0
2003-03-30;368.0
2003-04-06;338.0
2003-04-13;643.0
2003-04-20;284.0
2003-04-27;347.0
2003-05-04;323.0
2003-05-11;511.0
2003-05-18;307.0
2003-05-25;326.0
2003-06-01;368.0
2003-06-08;448.0
2003-06-15;427.0
2003-06-22;403.0
2003-06-29;382.0
2003-07-06;374.0
2003-07-13;446.0
2003-07-20;508.0
2003-07-27;425.0
2003-08-03;453.0
2003-08-10;635.0
2003-08-17;554.0
2003-08-24;870.0
2003-08-31;916.0
2003-09-07;359.0
2003-09-14;471.0
2003-09-21;719.0
2003-09-28;647.0
2003-10-05;463.0
2003-10-12;528.0
2003-10-19;411.0
2003-10-26;382.0
2003-11-02;413.0
2003-11-09;592.0
2003-11-16;317.0
2003-11-23;344.0
2003-11-30;322.0
2003-12-07;312.0
2003-12-14;450.0
2003-12-21;332.0
2003-12-28;309.0
2004-01-04;415.0
2004-01-11;426.0
2004-01-18;507.0
2004-01-25;581.0
2004-02-01;617.0
2004-02-08;585.0
2004-02-15;396.0
2004-02-22;585.0
2004-02-29;508.0
2004-03-07;499.0
2004-03-14;451.0
2004-03-21;600.0
2004-03-28;436.0
2004-04-04;532.0
2004-04-11;435.0
2004-04-18;353.0
2004-04-25;413.0
2004-05-02;492.0
2004-05-09;564.0
2004-05-16;377.0
2004-05-23;525.0
2004-05-30;432.0
2004-06-06;471.0
2004-06-13;462.0
2004-06-20;452.0
2004-06-27;386.0
2004-07-04;388.0
2004-07-11;430.0
2004-07-18;466.0
2004-07-25;500.0
2004-08-01;525.0
2004-08-08;464.0
2004-08-15;464.0
2004-08-22;428.0
2004-08-29;414.0
2004-09-05;563.0
2004-09-12;577.0
2004-09-19;479.0
2004-09-26;431.0
2004-10-03;525.0
2004-10-10;422.0
2004-10-17;392.0
2004-10-24;292.0
2004-10-31;383.0
2004-11-07;388.0
2004-11-14;328.0
2004-11-21;360.0
2004-11-28;425.0
2004-12-05;699.0
2004-12-12;367.0
2004-12-19;413.0
2004-12-26;461.0
2005-01-02;601.0
2005-01-09;877.0
2005-01-16;682.0
2005-01-23;879.0
2005-01-30;814.0
2005-02-06;769.0
2005-02-13;629.0
2005-02-20;770.0
2005-02-27;735.0
2005-03-06;929.0
2005-03-13;742.0
2005-03-20;703.0
2005-03-27;522.0
2005-04-03;769.0
2005-04-10;892.0
2005-04-17;497.0
2005-04-24;630.0
2005-05-01;714.0
2005-05-08;720.0
2005-05-15;665.0
2005-05-22;884.0
2005-05-29;719.0
2005-06-05;664.0
2005-06-12;898.0
2005-06-19;954.0
2005-06-26;915.0
2005-07-03;1041.0
2005-07-10;716.0
2005-07-17;866.0
2005-07-24;1026.0
2005-07-31;914.0
2005-08-07;666.0
2005-08-14;898.0
2005-08-21;1074.0
2005-08-28;830.0
2005-09-04;682.0
2005-09-11;915.0
2005-09-18;954.0
2005-09-25;1008.0
2005-10-02;1148.0
2005-10-09;744.0
2005-10-16;796.0
2005-10-23;740.0
2005-10-30;610.0
2005-11-06;836.0
2005-11-13;834.0
2005-11-20;670.0
2005-11-27;729.0
2005-12-04;728.0
2005-12-11;832.0
2005-12-18;783.0
2005-12-25;594.0
2006-01-01;549.0
2006-01-08;530.0
2006-01-15;527.0
2006-01-22;518.0
2006-01-29;442.0
2006-02-05;658.0
2006-02-12;641.0
2006-02-19;482.0
2006-02-26;415.0
2006-03-05;583.0
2006-03-12;678.0
2006-03-19;479.0
2006-03-26;448.0
2006-04-02;502.0
2006-04-09;670.0
2006-04-16;503.0
2006-04-23;605.0
2006-04-30;537.0
2006-05-07;635.0
2006-05-14;512.0
2006-05-21;564.0
2006-05-28;682.0
2006-06-04;656.0
2006-06-11;694.0
2006-06-18;535.0
2006-06-25;688.0
2006-07-02;652.0
2006-07-09;724.0
2006-07-16;602.0
2006-07-23;814.0
2006-07-30;866.0
2006-08-06;677.0
2006-08-13;585.0
2006-08-20;862.0
2006-08-27;864.0
2006-09-03;813.0
2006-09-10;624.0
2006-09-17;555.0
2006-09-24;709.0
2006-10-01;731.0
2006-10-08;666.0
2006-10-15;513.0
2006-10-22;592.0
2006-10-29;639.0
2006-11-05;570.0
2006-11-12;715.0
2006-11-19;587.0
2006-11-26;553.0
2006-12-03;507.0
2006-12-10;667.0
2006-12-17;318.0
2006-12-24;378.0
2006-12-31;370.0
2007-01-07;479.0
2007-01-14;538.0
2007-01-21;462.0
2007-01-28;581.0
2007-02-04;796.0
2007-02-11;704.0
2007-02-18;476.0
2007-02-25;511.0
2007-03-04;679.0
2007-03-11;822.0
2007-03-18;579.0
2007-03-25;583.0
2007-04-01;724.0
2007-04-08;691.0
2007-04-15;555.0
2007-04-22;762.0
2007-04-29;670.0
2007-05-06;823.0
2007-05-13;565.0
2007-05-20;614.0
2007-05-27;582.0
2007-06-03;626.0
2007-06-10;644.0
2007-06-17;489.0
2007-06-24;752.0
2007-07-01;711.0
2007-07-08;741.0
2007-07-15;465.0
2007-07-22;700.0
2007-07-29;832.0
2007-08-05;856.0
2007-08-12;547.0
2007-08-19;909.0
2007-08-26;961.0
2007-09-02;957.0
2007-09-09;778.0
2007-09-16;561.0
2007-09-23;754.0
2007-09-30;653.0
2007-10-07;573.0
2007-10-14;665.0
2007-10-21;541.0
2007-10-28;504.0
2007-11-04;576.0
2007-11-11;669.0
2007-11-18;431.0
2007-11-25;458.0
2007-12-02;527.0
2007-12-09;651.0
2007-12-16;390.0
2007-12-23;344.0
2007-12-30;341.0
2008-01-06;291.0
2008-01-13;565.0
2008-01-20;417.0
2008-01-27;409.0
2008-02-03;388.0
2008-02-10;638.0
2008-02-17;333.0
2008-02-24;438.0
2008-03-02;402.0
2008-03-09;565.0
2008-03-16;429.0
2008-03-23;513.0
2008-03-30;438.0
2008-04-06;448.0
2008-04-13;555.0
2008-04-20;743.0
2008-04-27;610.0
2008-05-04;408.0
2008-05-11;547.0
2008-05-18;530.0
2008-05-25;565.0
2008-06-01;578.0
2008-06-08;551.0
2008-06-15;420.0
2008-06-22;544.0
2008-06-29;440.0
2008-07-06;607.0
2008-07-13;569.0
2008-07-20;760.0
2008-07-27;630.0
2008-08-03;585.0
2008-08-10;709.0
2008-08-17;646.0
2008-08-24;961.0
2008-08-31;822.0
2008-09-07;617.0
2008-09-14;448.0
2008-09-21;560.0
2008-09-28;477.0
2008-10-05;450.0
2008-10-12;603.0
2008-10-19;405.0
2008-10-26;380.0
2008-11-02;408.0
2008-11-09;742.0
2008-11-16;305.0
2008-11-23;276.0
2008-11-30;280.0
2008-12-07;643.0
2008-12-14;459.0
2008-12-21;296.0
2008-12-28;171.0
2009-01-04;186.0
2009-01-11;471.0
2009-01-18;212.0
2009-01-25;285.0
2009-02-01;285.0
2009-02-08;359.0
2009-02-15;243.0
2009-02-22;215.0
2009-03-01;173.0
2009-03-08;411.0
2009-03-15;285.0
2009-03-22;263.0
2009-03-29;239.0
2009-04-05;318.0
2009-04-12;392.0
2009-04-19;267.0
2009-04-26;247.0
2009-05-03;316.0
2009-05-10;436.0
2009-05-17;325.0
2009-05-24;472.0
2009-05-31;448.0
2009-06-07;345.0
2009-06-14;283.0
2009-06-21;532.0
2009-06-28;462.0
2009-07-05;375.0
2009-07-12;344.0
2009-07-19;477.0
2009-07-26;431.0
2009-08-02;368.0
2009-08-09;506.0
2009-08-16;263.0
2009-08-23;387.0
2009-08-30;532.0
2009-09-06;348.0
2009-09-13;325.0
2009-09-20;352.0
2009-09-27;370.0
2009-10-04;290.0
2009-10-11;464.0
2009-10-18;312.0
2009-10-25;310.0
2009-11-01;253.0
2009-11-08;332.0
2009-11-15;243.0
2009-11-22;242.0
2009-11-29;207.0
2009-12-06;301.0
2009-12-13;205.0
2009-12-20;200.0
2009-12-27;158.0
2010-01-03;233.0
2010-01-10;202.0
2010-01-17;241.0
2010-01-24;179.0
2010-01-31;196.0
2010-02-07;190.0
2010-02-14;162.0
2010-02-21;222.0
2010-02-28;174.0
2010-03-07;219.0
2010-03-14;141.0
2010-03-21;156.0
2010-03-28;190.0
2010-04-04;229.0
2010-04-11;222.0
2010-04-18;149.0
2010-04-25;227.0
2010-05-02;240.0
2010-05-09;280.0
2010-05-16;153.0
2010-05-23;230.0
2010-05-30;200.0
2010-06-06;201.0
2010-06-13;197.0
2010-06-20;255.0
2010-06-27;267.0
2010-07-04;197.0
2010-07-11;236.0
2010-07-18;246.0
2010-07-25;360.0
2010-08-01;285.0
2010-08-08;252.0
2010-08-15;224.0
2010-08-22;311.0
2010-08-29;202.0
2010-09-05;212.0
2010-09-12;252.0
2010-09-19;193.0
2010-09-26;175.0
2010-10-03;261.0
2010-10-10;217.0
2010-10-17;138.0
2010-10-24;134.0
2010-10-31;128.0
2010-11-07;242.0
2010-11-14;156.0
2010-11-21;173.0
2010-11-28;152.0
2010-12-05;258.0
2010-12-12;211.0
2010-12-19;133.0
2010-12-26;84.0
2011-01-02;111.0
2011-01-09;158.0
2011-01-16;125.0
2011-01-23;149.0
2011-01-30;137.0
2011-02-06;114.0
2011-02-13;166.0
2011-02-20;111.0
2011-02-27;98.0
2011-03-06;143.0
2011-03-13;184.0
2011-03-20;84.0
2011-03-27;97.0
2011-04-03;110.0
2011-04-10;201.0
2011-04-17;84.0
2011-04-24;88.0
2011-05-01;145.0
2011-05-08;140.0
2011-05-15;177.0
2011-05-22;177.0
2011-05-29;172.0
2011-06-05;128.0
2011-06-12;206.0
2011-06-19;173.0
2011-06-26;219.0
2011-07-03;183.0
2011-07-10;159.0
2011-07-17;200.0
2011-07-24;257.0
2011-07-31;202.0
2011-08-07;110.0
2011-08-14;234.0
2011-08-21;287.0
2011-08-28;268.0
2011-09-04;152.0
2011-09-11;191.0
2011-09-18;214.0
2011-09-25;265.0
2011-10-02;206.0
2011-10-09;149.0
2011-10-16;185.0
2011-10-23;181.0
2011-10-30;220.0
2011-11-06;151.0
2011-11-13;208.0
2011-11-20;152.0
2011-11-27;209.0
2011-12-04;147.0
2011-12-11;251.0
2011-12-18;159.0
2011-12-25;125.0
2012-01-01;115.0
2012-01-08;307.0
2012-01-15;188.0
2012-01-22;114.0
2012-01-29;149.0
2012-02-05;273.0
2012-02-12;323.0
2012-02-19;124.0
2012-02-26;122.0
2012-03-04;189.0
2012-03-11;417.0
2012-03-18;183.0
2012-03-25;179.0
2012-04-01;231.0
2012-04-08;339.0
2012-04-15;176.0
2012-04-22;277.0
2012-04-29;372.0
2012-05-06;232.0
2012-05-13;265.0
2012-05-20;311.0
2012-05-27;317.0
2012-06-03;350.0
2012-06-10;401.0
2012-06-17;401.0
2012-06-24;479.0
2012-07-01;367.0
2012-07-08;316.0
2012-07-15;299.0
2012-07-22;446.0
2012-07-29;399.0
2012-08-05;273.0
2012-08-12;325.0
2012-08-19;381.0
2012-08-26;373.0
2012-09-02;304.0
2012-09-09;421.0
2012-09-16;301.0
2012-09-23;341.0
2012-09-30;322.0
2012-10-07;256.0
2012-10-14;308.0
2012-10-21;221.0
2012-10-28;202.0
2012-11-04;179.0
2012-11-11;480.0
2012-11-18;225.0
2012-11-25;196.0
2012-12-02;193.0
2012-12-09;347.0
2012-12-16;217.0
2012-12-23;173.0
2012-12-30;118.0
2013-01-06;271.0
2013-01-13;343.0
2013-01-20;182.0
2013-01-27;140.0
2013-02-03;187.0
2013-02-10;391.0
2013-02-17;174.0
2013-02-24;126.0
2013-03-03;155.0
2013-03-10;405.0
2013-03-17;152.0
2013-03-24;173.0
2013-03-31;161.0
2013-04-07;276.0
2013-04-14;232.0
2013-04-21;264.0
2013-04-28;298.0
2013-05-05;200.0
2013-05-12;334.0
2013-05-19;554.0
2013-05-26;456.0
2013-06-02;308.0
2013-06-09;320.0
2013-06-16;248.0
2013-06-23;328.0
2013-06-30;289.0
2013-07-07;291.0
2013-07-14;295.0
2013-07-21;404.0
2013-07-28;429.0
2013-08-04;307.0
2013-08-11;386.0
2013-08-18;285.0
2013-08-25;327.0
2013-09-01;324.0
2013-09-08;270.0
2013-09-15;316.0
2013-09-22;416.0
2013-09-29;343.0
2013-10-06;370.0
2013-10-13;258.0
2013-10-20;248.0
2013-10-27;220.0
2013-11-03;243.0
2013-11-10;337.0
2013-11-17;195.0
2013-11-24;151.0
2013-12-01;147.0
2013-12-08;314.0
2013-12-15;205.0
2013-12-22;132.0
2013-12-29;113.0
2014-01-05;119.0
2014-01-12;439.0
2014-01-19;185.0
2014-01-26;186.0
2014-02-02;176.0
2014-02-09;293.0
2014-02-16;190.0
2014-02-23;201.0
2014-03-02;200.0
2014-03-09;254.0
2014-03-16;258.0
2014-03-23;207.0
2014-03-30;121.0
2014-04-06;181.0
2014-04-13;328.0
2014-04-20;131.0
2014-04-27;158.0
2014-05-04;152.0
2014-05-11;311.0
2014-05-18;246.0
2014-05-25;264.0
2014-06-01;265.0
2014-06-08;219.0
2014-06-15;310.0
2014-06-22;365.0
2014-06-29;286.0
2014-07-06;246.0
2014-07-13;360.0
2014-07-20;410.0
2014-07-27;414.0
2014-08-03;237.0
2014-08-10;364.0
2014-08-17;264.0
2014-08-24;322.0
2014-08-31;342.0
2014-09-07;278.0
2014-09-14;357.0
2014-09-21;367.0
2014-09-28;359.0
2014-10-05;235.0
2014-10-12;410.0
2014-10-19;308.0
2014-10-26;181.0
2014-11-02;328.0
2014-11-09;321.0
2014-11-16;182.0
2014-11-23;178.0
2014-11-30;156.0
2014-12-07;225.0
2014-12-14;215.0
2014-12-21;159.0
2014-12-28;121.0
2015-01-04;143.0
2015-01-11;432.0
2015-01-18;144.0
2015-01-25;139.0
2015-02-01;158.0
2015-02-08;258.0
2015-02-15;139.0
2015-02-22;114.0
2015-03-01;160.0
2015-03-08;266.0
2015-03-15;144.0
2015-03-22;112.0
2015-03-29;111.0
2015-04-05;185.0
2015-04-12;210.0
2015-04-19;132.0
2015-04-26;175.0
2015-05-03;165.0
2015-05-10;256.0
2015-05-17;171.0
2015-05-24;280.0
2015-05-31;183.0
2015-06-07;217.0
2015-06-14;170.0
2015-06-21;284.0
2015-06-28;355.0
2015-07-05;213.0
2015-07-12;203.0
2015-07-19;330.0
2015-07-26;334.0
2015-08-02;309.0
2015-08-09;287.0
2015-08-16;228.0
2015-08-23;335.0
2015-08-30;334.0
2015-09-06;179.0
2015-09-13;278.0
2015-09-20;441.0
2015-09-27;278.0
2015-10-04;252.0
2015-10-11;260.0
2015-10-18;169.0
2015-10-25;147.0
2015-11-01;123.0
2015-11-08;242.0
2015-11-15;138.0
2015-11-22;109.0
2015-11-29;107.0
2015-12-06;187.0
2015-12-13;203.0
2015-12-20;128.0
2015-12-27;74.0
2016-01-03;123.0
2016-01-10;142.0
2016-01-17;142.0
2016-01-24;115.0
2016-01-31;105.0
2016-02-07;104.0
2016-02-14;77.0
2016-02-21;116.0
2016-02-28;90.0
2016-03-06;93.0
2016-03-13;104.0
2016-03-20;107.0
2016-03-27;96.0
2016-04-03;135.0
2016-04-10;128.0
2016-04-17;95.0
2016-04-24;79.0
2016-05-01;96.0
2016-05-08;106.0
2016-05-15;123.0
2016-05-22;70.0
2016-05-29;78.0
2016-06-05;73.0
2016-06-12;188.0
2016-06-19;119.0
2016-06-26;109.0
2016-07-03;118.0
2016-07-10;127.0
2016-07-17;98.0
2016-07-24;93.0
2016-07-31;98.0
2016-08-07;106.0
2016-08-14;154.0
2016-08-21;126.0
2016-08-28;104.0
2016-09-04;111.0
2016-09-11;135.0
2016-09-18;129.0
2016-09-25;154.0
2016-10-02;160.0
2016-10-09;97.0
2016-10-16;102.0
2016-10-23;136.0
2016-10-30;132.0
2016-11-06;128.0
2016-11-13;138.0
2016-11-20;121.0
2016-11-27;134.0
2016-12-04;144.0
2016-12-11;120.0
2016-12-18;122.0
2016-12-25;93.0
2017-01-01;95.0
2017-01-08;219.0
2017-01-15;226.0
2017-01-22;104.0
2017-01-29;115.0
2017-02-05;166.0
2017-02-12;336.0
2017-02-19;101.0
2017-02-26;89.0
2017-03-05;136.0
2017-03-12;351.0
2017-03-19;105.0
2017-03-26;95.0
2017-04-02;134.0
2017-04-09;345.0
2017-04-16;164.0
2017-04-23;109.0
2017-04-30;128.0
2017-05-07;188.0
2017-05-14;224.0
2017-05-21;186.0
2017-05-28;180.0
2017-06-04;249.0
2017-06-11;338.0
2017-06-18;208.0
2017-06-25;262.0
2017-07-02;331.0
2017-07-09;285.0
2017-07-16;260.0
2017-07-23;335.0
2017-07-30;417.0
2017-08-06;256.0
2017-08-13;270.0
2017-08-20;344.0
2017-08-27;538.0
2017-09-03;446.0
2017-09-10;333.0
