Date;Notifications
2003-01-05;76.0
2003-01-12;334.0
2003-01-19;105.0
2003-01-26;95.0
2003-02-02;128.0
2003-02-09;227.0
2003-02-16;126.0
2003-02-23;96.0
2003-03-02;161.0
2003-03-09;234.0
2003-03-16;249.0
2003-03-23;127.0
2003-03-30;106.0
2003-04-06;121.0
2003-04-13;303.0
2003-04-20;106.0
2003-04-27;111.0
2003-05-04;128.0
2003-05-11;207.0
2003-05-18;163.0
2003-05-25;160.0
2003-06-01;264.0
2003-06-08;158.0
2003-06-15;222.0
2003-06-22;305.0
2003-06-29;220.0
2003-07-06;207.0
2003-07-13;237.0
2003-07-20;351.0
2003-07-27;231.0
2003-08-03;251.0
2003-08-10;267.0
2003-08-17;177.0
2003-08-24;245.0
2003-08-31;292.0
2003-09-07;217.0
2003-09-14;269.0
2003-09-21;283.0
2003-09-28;292.0
2003-10-05;231.0
2003-10-12;328.0
2003-10-19;329.0
2003-10-26;329.0
2003-11-02;258.0
2003-11-09;293.0
2003-11-16;219.0
2003-11-23;204.0
2003-11-30;216.0
2003-12-07;178.0
2003-12-14;235.0
2003-12-21;133.0
2003-12-28;165.0
2004-01-04;174.0
2004-01-11;248.0
2004-01-18;231.0
2004-01-25;214.0
2004-02-01;199.0
2004-02-08;283.0
2004-02-15;208.0
2004-02-22;172.0
2004-02-29;159.0
2004-03-07;206.0
2004-03-14;328.0
2004-03-21;244.0
2004-03-28;172.0
2004-04-04;178.0
2004-04-11;355.0
2004-04-18;150.0
2004-04-25;178.0
2004-05-02;247.0
2004-05-09;259.0
2004-05-16;238.0
2004-05-23;187.0
2004-05-30;121.0
2004-06-06;205.0
2004-06-13;306.0
2004-06-20;169.0
2004-06-27;206.0
2004-07-04;170.0
2004-07-11;256.0
2004-07-18;268.0
2004-07-25;238.0
2004-08-01;290.0
2004-08-08;198.0
2004-08-15;337.0
2004-08-22;328.0
2004-08-29;287.0
2004-09-05;330.0
2004-09-12;359.0
2004-09-19;381.0
2004-09-26;360.0
2004-10-03;320.0
2004-10-10;243.0
2004-10-17;433.0
2004-10-24;450.0
2004-10-31;410.0
2004-11-07;187.0
2004-11-14;293.0
2004-11-21;362.0
2004-11-28;480.0
2004-12-05;375.0
2004-12-12;231.0
2004-12-19;350.0
2004-12-26;306.0
2005-01-02;368.0
2005-01-09;685.0
2005-01-16;431.0
2005-01-23;414.0
2005-01-30;429.0
2005-02-06;497.0
2005-02-13;492.0
2005-02-20;499.0
2005-02-27;501.0
2005-03-06;475.0
2005-03-13;486.0
2005-03-20;418.0
2005-03-27;353.0
2005-04-03;511.0
2005-04-10;603.0
2005-04-17;344.0
2005-04-24;377.0
2005-05-01;377.0
2005-05-08;444.0
2005-05-15;495.0
2005-05-22;439.0
2005-05-29;424.0
2005-06-05;446.0
2005-06-12;614.0
2005-06-19;528.0
2005-06-26;547.0
2005-07-03;695.0
2005-07-10;577.0
2005-07-17;643.0
2005-07-24;866.0
2005-07-31;724.0
2005-08-07;420.0
2005-08-14;650.0
2005-08-21;793.0
2005-08-28;668.0
2005-09-04;471.0
2005-09-11;596.0
2005-09-18;630.0
2005-09-25;666.0
2005-10-02;695.0
2005-10-09;478.0
2005-10-16;545.0
2005-10-23;611.0
2005-10-30;488.0
2005-11-06;549.0
2005-11-13;615.0
2005-11-20;637.0
2005-11-27;565.0
2005-12-04;568.0
2005-12-11;592.0
2005-12-18;419.0
2005-12-25;386.0
2006-01-01;409.0
2006-01-08;384.0
2006-01-15;385.0
2006-01-22;377.0
2006-01-29;311.0
2006-02-05;423.0
2006-02-12;391.0
2006-02-19;310.0
2006-02-26;281.0
2006-03-05;334.0
2006-03-12;458.0
2006-03-19;337.0
2006-03-26;259.0
2006-04-02;359.0
